District,Taluka,Village_Cluster,Latitude,Longitude,Season,Cane_Variety,Soil_Type,Irrigation_Method,Area_Harvested_Ha,Planting_Date,Harvest_Date,Harvest_Year,Avg_NDVI,Avg_EVI,Avg_LST_Celsius,Avg_Max_Temp_Celsius,Avg_Min_Temp_Celsius,Solar_Radiation_kWh,Avg_Humidity_Percent,Accumulated_Rainfall_mm,Yield_Tonnes_Ha
Ahmednagar,Shevgaon,Shevgaon_Cluster_13,19.485,75.0948,Suru,CoM 0265,Clay Loam,Flood,2.93,14-12-2019,24-03-2021,2021,0.417,0.334,31.7,33,16,6.36,71.7,488.5,115.1
Ahmednagar,Sangamner,Sangamner_Cluster_12,18.55,74.5452,Suru,Co 86032,Black Cotton,Flood,1.35,21-05-2020,02-09-2021,2021,0.568,0.532,33.9,35.6,18.4,6.72,62.4,522.7,131.42
Ahmednagar,Parner,Parner_Cluster_18,18.877,74.9118,Suru,Co 86032,Medium Black,Flood,2.37,18-12-2019,20-04-2021,2021,0.735,0.483,35.1,37.3,15.3,6.76,83.7,505.6,115.09
Ahmednagar,Karjat,Karjat_Cluster_5,18.5655,74.5089,Adsali,Co 86032,Sandy Loam,Flood,1.34,18-06-2022,19-06-2023,2023,0.799,0.599,30.5,32.9,22.4,5.22,65.1,433.5,153.81
Ahmednagar,Sangamner,Sangamner_Cluster_5,19.2746,74.8741,Suru,Co 92005,Black Cotton,Rainfed,4.01,20-12-2020,28-02-2022,2022,0.477,0.339,36.4,37.8,20.8,6.5,62.9,654.9,99.25
Ahmednagar,Nevasa,Nevasa_Cluster_7,19.2105,74.2392,Pre-seasonal,VSI 434,Black Cotton,Rainfed,1.27,30-07-2022,10-11-2023,2023,0.59,0.438,28,29.8,21.9,5.66,58.2,583.9,111.67
Ahmednagar,Rahuri,Rahuri_Cluster_12,19.2888,74.9962,Suru,Co 92005,Black Cotton,Rainfed,4.16,10-07-2019,28-09-2020,2020,0.458,0.324,35.4,36.8,19.4,6.47,48,507.9,65.81
Ahmednagar,Shrigonda,Shrigonda_Cluster_8,18.6434,75.1575,Pre-seasonal,Co 92005,Medium Black,Drip,4.33,10-12-2022,12-12-2023,2023,0.752,0.639,30.9,33.2,18.7,5.19,63.4,519.1,147.01
Ahmednagar,Akole,Akole_Cluster_8,18.9331,75.0618,Adsali,Co 86032,Sandy Loam,Flood,2.58,24-11-2021,19-03-2023,2023,0.835,0.675,28.2,30.8,18.4,4.3,95,987.7,180
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_16,19.4056,74.5126,Suru,CoM 0265,Sandy Loam,Drip,1.72,17-11-2018,13-12-2019,2019,0.776,0.65,31,33.3,15.7,5.94,68.9,594.5,132.49
Ahmednagar,Jamkhed,Jamkhed_Cluster_2,19.3791,74.4671,Adsali,Co 92005,Sandy Loam,Rainfed,4.49,16-03-2019,30-06-2020,2020,0.655,0.541,33.3,35.3,19.6,5.45,58.5,359,101.32
Ahmednagar,Shrigonda,Shrigonda_Cluster_11,19.1312,74.9982,Adsali,VSI 434,Sandy Loam,Drip,1.77,28-08-2022,26-09-2023,2023,0.829,0.629,29.6,32.1,21.3,6.12,68,592.9,157.64
Ahmednagar,Shrirampur,Shrirampur_Cluster_1,19.2829,74.2795,Suru,Co 86032,Sandy Loam,Flood,1.32,21-06-2023,30-10-2024,2024,0.427,0.392,35.5,36.8,16.6,5.72,83.4,406.9,106.88
Ahmednagar,Shrigonda,Shrigonda_Cluster_19,18.9373,74.9886,Pre-seasonal,Co 86032,Sandy Loam,Drip,1.32,22-03-2020,21-07-2021,2021,0.483,0.509,33.4,34.9,18.8,4.75,62.4,561.7,125.83
Ahmednagar,Shevgaon,Shevgaon_Cluster_13,19.3475,74.4713,Pre-seasonal,Co 92005,Sandy Loam,Drip,2.31,18-08-2018,06-12-2019,2019,0.798,0.791,27.5,29.9,17.5,5.66,73.9,371.7,140.44
Ahmednagar,Karjat,Karjat_Cluster_10,18.6547,74.9311,Suru,VSI 434,Black Cotton,Rainfed,0.68,15-03-2020,22-07-2021,2021,0.514,0.425,33.5,35.1,19,5.58,63.1,470.4,97.9
Ahmednagar,Parner,Parner_Cluster_5,19.1406,75.1226,Adsali,VSI 434,Black Cotton,Drip,4.07,28-12-2019,21-02-2021,2021,0.798,0.619,33.4,35.8,20.2,5.45,70.2,448.7,151.97
Ahmednagar,Karjat,Karjat_Cluster_8,19.0094,74.8872,Adsali,Co 86032,Black Cotton,Drip,4.32,16-02-2020,01-04-2021,2021,0.85,0.617,24.9,27.5,18.3,6.42,55.6,159,176.87
Ahmednagar,Shevgaon,Shevgaon_Cluster_13,18.6701,74.3906,Pre-seasonal,Co 86032,Clay Loam,Flood,1.07,19-04-2018,03-08-2019,2019,0.741,0.554,25.2,27.4,22.2,5.74,61.3,512.8,130.62
Ahmednagar,Nevasa,Nevasa_Cluster_19,19.419,74.9595,Adsali,Co 92005,Clay Loam,Rainfed,0.95,25-06-2018,10-09-2019,2019,0.65,0.548,30.8,32.8,24.1,6.69,48.2,521.6,133.8
Ahmednagar,Jamkhed,Jamkhed_Cluster_8,19.0005,74.8513,Adsali,Co 92005,Sandy Loam,Rainfed,4.25,03-12-2022,16-01-2024,2024,0.465,0.446,28.1,29.5,17.9,6.53,53.3,291,111.05
Ahmednagar,Akole,Akole_Cluster_5,18.577,74.3898,Pre-seasonal,VSI 434,Sandy Loam,Drip,4.92,02-12-2017,14-01-2019,2019,0.613,0.449,30.5,32.4,23,4.38,75.4,865.5,118.63
Ahmednagar,Shrigonda,Shrigonda_Cluster_8,18.9337,74.7922,Adsali,Co 92005,Medium Black,Drip,4.03,11-08-2019,22-08-2020,2020,0.805,0.604,31,33.4,21.7,4.93,45.5,606.9,167.19
Ahmednagar,Shevgaon,Shevgaon_Cluster_17,19.039,74.6262,Pre-seasonal,Co 92005,Medium Black,Drip,3.59,29-07-2020,24-10-2021,2021,0.682,0.611,32.3,34.3,18.6,5.44,66.8,575.2,142.06
Ahmednagar,Kopargaon,Kopargaon_Cluster_19,18.6041,74.5325,Pre-seasonal,Co 92005,Sandy Loam,Rainfed,3.98,04-11-2019,31-01-2021,2021,0.375,0.269,31.9,33,26.2,6.23,72.3,462,97.78
Ahmednagar,Kopargaon,Kopargaon_Cluster_9,19.2605,74.54,Pre-seasonal,VSI 434,Sandy Loam,Flood,3.44,25-04-2021,23-07-2022,2022,0.664,0.543,27.9,29.8,16,5.54,64,615.6,120.09
Ahmednagar,Jamkhed,Jamkhed_Cluster_13,19.1321,74.6515,Adsali,CoM 0265,Black Cotton,Rainfed,3.26,10-09-2021,20-10-2022,2022,0.604,0.519,29.3,31.1,19.6,5.59,64.2,300,135.86
Ahmednagar,Shevgaon,Shevgaon_Cluster_8,18.527,74.8846,Suru,Co 92005,Medium Black,Flood,4.96,08-09-2019,19-01-2021,2021,0.621,0.393,33.2,35,23.8,6.69,57.4,611.8,115.8
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_13,18.8422,74.7804,Adsali,Co 86032,Black Cotton,Rainfed,4.44,04-12-2021,11-04-2023,2023,0.648,0.528,33.3,35.3,18.7,5.58,66.4,536,125.47
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_7,19.0542,74.4959,Adsali,CoM 0265,Sandy Loam,Flood,1.1,14-10-2021,12-11-2022,2022,0.85,0.583,30.3,32.8,20.4,6.14,90,769.4,180
Ahmednagar,Sangamner,Sangamner_Cluster_15,19.3447,74.2258,Pre-seasonal,VSI 434,Sandy Loam,Flood,3.56,17-11-2018,28-12-2019,2019,0.662,0.455,30.7,32.7,20.7,5.7,75.6,469.2,133.83
Ahmednagar,Parner,Parner_Cluster_15,19.0887,75.0369,Adsali,Co 92005,Black Cotton,Drip,3.29,22-01-2023,03-04-2024,2024,0.773,0.675,34.2,36.5,18.4,5.44,76.7,624.7,167.93
Ahmednagar,Parner,Parner_Cluster_10,18.7207,74.7519,Adsali,VSI 434,Sandy Loam,Drip,2.61,07-03-2018,01-05-2019,2019,0.637,0.499,30.8,32.8,20,5.72,51.3,358.6,141.43
Ahmednagar,Nevasa,Nevasa_Cluster_19,18.9431,74.843,Pre-seasonal,VSI 434,Medium Black,Drip,4.43,28-08-2020,27-12-2021,2021,0.749,0.525,27.2,29.5,21.3,5.15,46,553.3,150.69
Ahmednagar,Akole,Akole_Cluster_10,19.0222,75.1306,Suru,VSI 434,Medium Black,Flood,0.89,20-10-2017,11-02-2019,2019,0.608,0.559,27.9,29.7,19.1,5.75,68.3,879.7,105.5
Ahmednagar,Kopargaon,Kopargaon_Cluster_18,18.9492,74.262,Pre-seasonal,CoM 0265,Clay Loam,Flood,2.46,19-01-2023,07-04-2024,2024,0.451,0.342,35.3,36.7,21.8,5.33,82.9,506.9,130.72
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_7,19.4901,74.8783,Suru,CoM 0265,Medium Black,Drip,1.88,01-02-2021,17-04-2022,2022,0.751,0.562,36,38.2,17.8,6.68,50.9,532.3,129.18
Ahmednagar,Rahuri,Rahuri_Cluster_5,18.9928,74.8953,Adsali,CoM 0265,Sandy Loam,Rainfed,3.58,14-03-2019,06-05-2020,2020,0.847,0.673,29.3,31.9,22.5,5.07,68.3,516.5,157.68
